geography,factor,age_group,gender,direct,cost_per_case_uk,forex_rate,cost_per_case_local,healthcare_expenditure_factor,cost_per_case_adjusted
KSA,anxiety,adult,all,False,3223.17072,4.900332927703857,15794.60961082695,0.3420197012094661,5402.067659815196
KSA,obesity,adult,all,True,622.3078197,4.900332927703857,3049.515500043505,0.3420197012094661,1042.9943801585152
KSA,obesity,adult,all,False,2789.36264,4.900332927703857,13668.805592098961,0.3420197012094661,4675.000804499966
Newzealand,coronary heart disease,adult,all,True,2252.10299,2.157219886779785,4858.281357104215,0.9740982919070014,4732.443571558844
Newzealand,stroke,adult,all,True,2401.050289,2.157219886779785,5179.59343258915,0.9740982919070014,5045.433115457813
Newzealand,diabetes (type 2),adult,all,True,2068.273017,2.157219886779785,4461.7196835624245,0.9740982919070014,4346.153522726005
Newzealand,breast cancer,adult,all,True,978.2347643,2.157219886779785,2110.267487487296,0.9740982919070014,2055.6079550282543
Newzealand,endometrial uterine cancer,adult,all,True,5880.820946,2.157219886779785,12686.223895302308,0.9740982919070014,12357.629027163763
Newzealand,colon cancer,adult,all,True,4035.722421,2.157219886779785,8705.94066410426,0.9740982919070014,8480.441930347666
Newzealand,osteoporosis,adult,all,True,8261.739544,2.157219886779785,17822.388843711753,0.9740982919070014,17360.758530362014
Newzealand,alzheimer and other dementia,adult,all,True,6323.486659,2.157219886779785,13641.151174581462,0.9740982919070014,13287.822058804988
Newzealand,depression,adult,all,True,3851.242246,2.157219886779785,8307.976361877645,0.9740982919070014,8092.785583308758
Newzealand,anxiety,adult,all,True,1481.424011,2.157219886779785,3195.7573372822753,0.9740982919070014,3112.981763595931
Newzealand,coronary heart disease,adult,all,False,2736.767361,2.157219886779785,5903.808976639032,0.9740982919070014,5750.890239889303
Newzealand,stroke,adult,all,False,52088.28766,2.157219886779785,112365.89000845808,0.9740982919070014,109455.42152584901
Newzealand,diabetes (type 2),adult,all,False,4739.699408,2.157219886779785,10224.573820295976,0.9740982919070014,9959.739893827355
Newzealand,breast cancer,adult,all,False,2831.286259,2.157219886779785,6107.707023081141,0.9740982919070014,5949.506978651736
Newzealand,endometrial uterine cancer,adult,all,False,15131.93694,2.157219886779785,32642.91529246565,0.9740982919070014,31797.408029255723
Newzealand,colon cancer,adult,all,False,11265.68345,2.157219886779785,24302.5563765059,0.9740982919070014,23673.078655328
Newzealand,osteoporosis,adult,all,False,8060.514695,2.157219886779785,17388.302597734695,0.9740982919070014,16937.91585961544
Newzealand,alzheimer and other dementia,adult,all,False,15146.95642,2.157219886779785,32675.31561341074,0.9740982919070014,31828.969126545577
Newzealand,depression,adult,all,False,13347.27888,2.157219886779785,28793.015434331817,0.9740982919070014,28047.22715343455
Newzealand,anxiety,adult,all,False,3223.17072,2.157219886779785,6953.087975670319,0.9740982919070014,6772.991120579568
Newzealand,obesity,adult,all,True,622.3078197,2.157219886779785,1342.454804355409,0.9740982919070014,1307.6829318849516
Newzealand,obesity,adult,all,False,2789.36264,2.157219886779785,6017.2685584485625,0.9740982919070014,5861.411024730449
Singapore,coronary heart disease,adult,all,True,2252.10299,1.7109999656677246,3853.34813857018,0.821939042491735,3167.217279403683
Singapore,stroke,adult,all,True,2401.050289,1.7109999656677246,4108.19696204548,0.821939042491735,3376.6874773511167
Singapore,diabetes (type 2),adult,all,True,2068.273017,1.7109999656677246,3538.815061078481,0.821939042491735,2908.6902628581774
Singapore,breast cancer,adult,all,True,978.2347643,1.7109999656677246,1673.7596481322748,0.821939042491735,1375.7284025471452
Singapore,endometrial uterine cancer,adult,all,True,5880.820946,1.7109999656677246,10062.084436704035,0.821939042491735,8270.420047375503
Singapore,colon cancer,adult,all,True,4035.722421,1.7109999656677246,6905.1209237754665,0.821939042491735,5675.588480377652
Singapore,osteoporosis,adult,all,True,8261.739544,1.7109999656677246,14135.836076139683,0.821939042491735,11618.795569242377
