geography,factor,age_group,gender,direct,cost_per_case,cost_inflated,forex_rate,inflation_rate,cost_per_case_adjusted,base_year
KSA (Saudi Arabia),colon cancer,adult,all,FALSE,49909.34,56325.8934,4.983200073,1.128564181,19264.56523,2016
KSA (Saudi Arabia),osteoporosis,adult,all,FALSE,38387.68462,45997.39586,5.681399822,1.198233139,15732.01559,2013
KSA (Saudi Arabia),alzheimer and other dementia,adult,all,FALSE,97091.98834,113394.6334,6.409999847,1.167909272,38783.19865,2014
KSA (Saudi Arabia),depression,adult,all,FALSE,74102.51782,111253.8071,7.44990015,1.501349892,38050.99387,2008
KSA (Saudi Arabia),anxiety,adult,all,FALSE,17894.66016,26866.1461,7.44990015,1.501349892,9188.751262,2008
KSA (Saudi Arabia),obesity,adult,all,TRUE,3080.23694,3415.933318,4.949699879,1.108983947,1168.316493,2018
KSA (Saudi Arabia),obesity,adult,all,FALSE,13806.50792,15311.19564,4.949699879,1.108983947,5236.730559,2018
New Zealand,coronary heart disease,adult,all,TRUE,4207.018392,5444.427098,1.868039966,1.294129616,5303.407137,2016
New Zealand,stroke,adult,all,TRUE,3861.711974,4912.09763,1.773980021,1.272,4784.865911,2017
New Zealand,diabetes (type 2),adult,all,TRUE,3196.34842,4267.613299,1.955299973,1.335152724,4157.074825,2012
New Zealand,breast cancer,adult,all,TRUE,16257.55182,21039.3793,1.868039966,1.294129616,20494.42344,2016
New Zealand,endometrial uterine cancer,adult,all,TRUE,9766.523909,12639.14784,1.868039966,1.294129616,12311.77232,2016
New Zealand,colon cancer,adult,all,TRUE,7162.773961,8702.052033,1.919800043,1.214899713,8476.654021,2020
New Zealand,osteoporosis,adult,all,TRUE,12721.74592,15942.91705,1.948199987,1.25320197,15529.96827,2018
New Zealand,alzheimer and other dementia,adult,all,TRUE,12340.28458,16104.28028,1.951500058,1.305016928,15687.15191,2014
New Zealand,depression,adult,all,TRUE,7522.714119,11057.19015,2.621099949,1.469840536,10770.79004,2008
New Zealand,anxiety,adult,all,TRUE,2893.694344,4253.269245,2.621099949,1.469840536,4143.102307,2008
New Zealand,coronary heart disease,adult,all,FALSE,4854.970622,6175.522631,1.773980021,1.272,6015.566046,2017
New Zealand,stroke,adult,all,FALSE,85731.28311,105668.7908,1.887979984,1.23255814,102931.7886,2019
New Zealand,diabetes (type 2),adult,all,FALSE,7324.80789,9779.737205,1.955299973,1.335152724,9526.425307,2012
New Zealand,breast cancer,adult,all,FALSE,4702.034618,6085.042256,1.868039966,1.294129616,5927.429268,2016
New Zealand,endometrial uterine cancer,adult,all,FALSE,25130.23729,32521.78434,1.868039966,1.294129616,31679.41458,2016
New Zealand,colon cancer,adult,all,FALSE,18709.39164,24212.37782,1.868039966,1.294129616,23585.23588,2016
New Zealand,osteoporosis,adult,all,FALSE,13276.97468,17606.66366,1.965000033,1.326105088,17150.621,2013
New Zealand,alzheimer and other dementia,adult,all,FALSE,29559.28633,38575.36905,1.951500058,1.305016928,37576.20111,2014
New Zealand,depression,adult,all,FALSE,26071.50455,38320.95423,2.621099949,1.469840536,37328.37606,2008
New Zealand,anxiety,adult,all,FALSE,6295.882077,9253.942688,2.621099949,1.469840536,9014.249766,2008
New Zealand,obesity,adult,all,TRUE,1212.380087,1519.357113,1.948199987,1.25320197,1480.003169,2018
New Zealand,obesity,adult,all,FALSE,5434.23626,6810.195589,1.948199987,1.25320197,6633.799891,2018
Singapore,coronary heart disease,adult,all,TRUE,4042.907611,4776.749754,1.79516995,1.181513459,3926.197119,2016
Singapore,stroke,adult,all,TRUE,3899.284537,4583.314241,1.791239977,1.175424414,3767.204919,2017
Singapore,diabetes (type 2),adult,all,TRUE,3244.408879,3934.420776,1.984699965,1.212677231,3233.854045,2012
Singapore,breast cancer,adult,all,TRUE,15623.36407,18459.21492,1.79516995,1.181513459,15172.34944,2016
Singapore,endometrial uterine cancer,adult,all,TRUE,9385.543434,11089.14588,1.79516995,1.181513459,9114.601949,2016
Singapore,colon cancer,adult,all,TRUE,6441.123745,7529.964965,1.726379991,1.169045226,6189.172193,2020
Singapore,osteoporosis,adult,all,TRUE,11751.91036,13737.13409,1.799679995,1.168927746,11291.08684,2018
Singapore,alzheimer and other dementia,adult,all,TRUE,13486.73299,15765.0164,2.132800102,1.168927746,12957.88248,2014
Singapore,depression,adult,all,TRUE,7770.113288,10721.46593,2.707299948,1.379833926,8812.391438,2008
Singapore,anxiety,adult,all,TRUE,2988.859142,4124.129246,2.707299948,1.379833926,3389.782844,2008
Singapore,coronary heart disease,adult,all,FALSE,4902.207104,5762.173913,1.791239977,1.175424414,4736.155708,2017
Singapore,stroke,adult,all,FALSE,77915.94186,90595.58534,1.715870023,1.162734906,74464.04867,2019
Singapore,diabetes (type 2),adult,all,FALSE,7434.944078,9016.187397,1.984699965,1.212677231,7410.756436,2012
Singapore,breast cancer,adult,all,FALSE,4518.613843,5338.803069,1.79516995,1.181513459,4388.170683,2016
Singapore,endometrial uterine cancer,adult,all,FALSE,24149.93664,28533.47516,1.79516995,1.181513459,23452.77725,2016
Singapore,colon cancer,adult,all,FALSE,17979.56053,21243.09275,1.79516995,1.181513459,17460.52731,2016
Singapore,osteoporosis,adult,all,FALSE,13032.38074,15522.49157,1.928799987,1.191071063,12758.54186,2013
Singapore,alzheimer and other dementia,adult,all,FALSE,32305.4302,37762.71371,2.132800102,1.168927746,31038.64875,2014
Singapore,depression,adult,all,FALSE,26928.91697,37157.43324,2.707299948,1.379833926,30541.1451,2008
Singapore,anxiety,adult,all,FALSE,6502.934474,8972.969609,2.707299948,1.379833926,7375.234049,2008
Singapore,obesity,adult,all,TRUE,1119.954934,1309.146396,1.799679995,1.168927746,1076.038535,2018
Singapore,obesity,adult,all,FALSE,5019.960141,5867.970692,1.799679995,1.168927746,4823.114212,2018
Spain,coronary heart disease,adult,all,TRUE,2701.397457,3349.652139,1.199499965,1.239970124,1878.32529,2016
Spain,stroke,adult,all,TRUE,2480.27444,3029.563724,1.139379978,1.221463107,1698.83496,2017
Spain,diabetes (type 2),adult,all,TRUE,2025.242131,2546.287872,1.238899946,1.257275776,1427.836894,2012
Spain,breast cancer,adult,all,TRUE,10439.24819,12944.35587,1.199499965,1.239970124,7258.577902,2016
Spain,endometrial uterine cancer,adult,all,TRUE,6271.249706,7776.162274,1.199499965,1.239970124,4360.501225,2016
Spain,colon cancer,adult,all,TRUE,4113.427358,4908.321113,1.102499962,1.19324366,2752.352571,2020
Spain,osteoporosis,adult,all,TRUE,7382.817841,8817.649139,1.130599976,1.194347379,4944.517426,2018
Spain,alzheimer and other dementia,adult,all,TRUE,7900.564356,9723.83588,1.24940002,1.230777378,5452.663765,2014
Spain,depression,adult,all,TRUE,3601.925286,4784.315208,1.254999995,1.328266088,2682.815969,2008
